nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Starting Training:
>304, dA[0.044,0.018] dB[0.022,0.021] g[10.444,10.467] s_elaps=4990
>305, dA[0.109,0.028] dB[0.087,0.025] g[10.972,11.182] s_elaps=5006
>306, dA[0.022,0.016] dB[0.026,0.030] g[10.154,10.549] s_elaps=5022
>307, dA[0.026,0.021] dB[0.024,0.008] g[10.404,10.498] s_elaps=5038
>308, dA[0.015,0.044] dB[0.025,0.021] g[10.202,10.316] s_elaps=5055
>309, dA[0.052,0.030] dB[0.019,0.008] g[9.869,10.036] s_elaps=5071
>310, dA[0.066,0.028] dB[0.064,0.019] g[10.647,10.810] s_elaps=5087
>311, dA[0.037,0.037] dB[0.045,0.015] g[10.583,10.679] s_elaps=5103
>312, dA[0.057,0.041] dB[0.046,0.028] g[10.466,10.652] s_elaps=5119
>313, dA[0.070,0.034] dB[0.057,0.009] g[10.009,10.409] s_elaps=5136
>314, dA[0.032,0.025] dB[0.024,0.018] g[10.254,10.448] s_elaps=5152
>315, dA[0.022,0.014] dB[0.016,0.009] g[10.154,10.297] s_elaps=5168
